Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.8055358410220014,0.668918918918919,0.5294117647058824,0.591044776119403,0.8459143868351029
Random Forest,0.7906316536550745,0.6357388316151202,0.4946524064171123,0.556390977443609,0.8230359864630965
XGBoost,0.7792760823278921,0.595166163141994,0.5267379679144385,0.5588652482269504,0.8188405797101449
